product_id,product_name,brand,price,initial_price,discount,review_count,rating,category_name,root_category_name,available_for_delivery,available_for_pickup,source_product_id,source
PROD_12a01634f5,Happy Town Infant Girl Summer Outfits Baby Girl Ruffle Sleeve Tops Floral Shorts Set For 1-18M,Happy Town,11.0,19.99,9.0,2,5.0,Toddler Girls Outfit Sets,Clothing,True,False,5537013909,walmart
PROD_e79fbe063b,Jessica London Women's Plus Size Stretch Denim Skirt Elastic Waist Long Jean Maxi Skirt,Jessica London,34.2,39.0,4.79,296,4.2,Womens Workwear Skirts,Clothing,True,False,338559263,walmart
PROD_c35aedfca4,Amay 800 Thread Count 100% Organic Cotton Twin XL Size 1PC Flat Sheet ( 70x102 ) Aqua Blue Striped,Amay's,49.5,55.0,5.5,8,5.0,Colored Sheets,Home,True,False,3096395012,walmart
PROD_975b78d065,"Hommow Outdoor Chaise Lounge Chair, Set of 2 Adjustable Patio Chaise Lounges for Beach Yard Pool,Blue",Hommow,120.0,159.99,40.0,54,3.5,Outdoor Chaise Lounges,Patio & Garden,True,False,391736091,walmart
PROD_ed6943e113,Comfort Canopy - 4 Piece Gray Chevron Printed Bed Sheets for California King Bedding,Comfort Canopy,38.0,109.99,72.0,28,4.9,Bed Sheets,Home,True,False,1743897163,walmart
PROD_f6478077a5,"No Boundaries Womens Mid-Heel Slinky Slide Sandals, Sizes 6-11",No Boundaries,9.97,16.98,7.01,16,4.8,Womens Slides,Clothing,True,False,2531977069,walmart
PROD_bc969f5d71,"Purina ONE High Protein, Healthy Weight Dry Cat Food, +Plus Ideal Weight With Turkey, 7 lb. Bag",Purina ONE,18.0,57.71888888888889,17.816666666666666,451,4.7,All Cat Food,Pets,False,False,24190989,walmart
PROD_3bcd30754d,wendunide summer dress Women's Vintage 1920s Sequin Beaded Tassels Party Night Hem Flapper Gown Dress Black L,wendunide,34.0,43.79,9.8,1,5.0,Womens Dresses,Clothing,True,False,1796059258,walmart
PROD_decfa30a14,"American Soft Linen Luxury 6 Piece Bath Towel Set, 100% Cotton Turkish Towels for Bathroom, Light Grey",American Soft Linen,38.0,49.99,12.01,1455,4.7,Bath Towels,Home,True,False,178455834,walmart
PROD_1e1d2050b8,Pennysue Women's Cork Footbed Slide Sandals with Arch Support 2 Strap Adjustable Buckle Glitter Slip on Slipper Shoes Softey Flat Sandals 10M,Penny Sue,26.0,35.99,10.0,44,4.3,Womens Footbed Sandals,Clothing,True,False,5070152382,walmart
PROD_301f17098a,"""Women Strapless Pleated Solid Colors Smocked Bandeau Sexy Tube Crop Tops (GOLDEN MUSTARD, Medium)""",TheLovely,11.0,16.99,5.95,1,5.0,Womens Workwear Blouses,Clothing,True,False,842910182,walmart
PROD_341a264c65,IBTOM CASTLE Little Big Girls Flower Vintage Floral Lace 3/4 Sleeves Floor Length Dress Wedding Party Evening Formal Pageant Dance Gown 7-8 Years Dark Green,Ibtom Castle,29.0,35.98,6.99,90,4.5,Girls Dresses,Clothing,True,False,1985101100,walmart
PROD_f80f1ce528,"ZZwxWA Today Discount Dressy Tank Top for Women, Women's Seamless Suspender with Added Velvet and Thick Back Protection Bottom Coat Tank Tops Round Neck Tank Tops Summer Saving",ZZwxWA,4.29,4.99,0.7,1,5.0,Womens Tank Tops,Clothing,True,False,5588310453,walmart
PROD_056ca1ae54,TIYOMI Plus Size Women's Surfing 2X Long Sleeve Swimsuits 2 Piece Blue Swimwear Rash Guard UPF 50+ Sun Protection Swimsuit Tummy Control Bathing Suits with Shorts 2XL 18W 20W,TIYOMI,20.0,28.99,9.0,56,4.7,Young Adult Swimsuits,Clothing,True,False,5296247194,walmart
PROD_e95eaa8c0e,"NELEUS Womens 4"" Spandex Booty Shorts Yoga Workout Athletic Shorts High Waist with Pockets,Purple,US Size M",NELEUS,13.5,14.99,1.5,7,4.6,Womens Athletic Shorts,Clothing,True,False,5446692947,walmart
PROD_43d42369ba,MINTREUS Women's Nightgown Short Sleeve Nightshirt V Neck Sleep Shirt Loose Loungewear Casual Sleepwear,MINTREUS,18.0,26.99,9.0,84,4.7,Womens Nightshirts & Gowns,Clothing,True,False,6077957065,walmart
PROD_fb992f09d3,"Revlon ColorStay Liquid Foundation Makeup, Matte Finish, Combination/Oily Skin, SPF 15, Vanilla, 1 fl oz.",Revlon,12.5,28.815,11.002,2765,4.3,Liquid Foundation,Beauty,True,False,182430131,walmart
PROD_3f96ca6836,"MLILY 5 inch Memory Foam Mattress for Kids, Twin Size Mattress for Bunk Bed, Purple, Medium",MLILY,165.0,449.0,284.01,53,4.7,Memory Foam Mattresses,Home,True,False,260485781,walmart
PROD_c7c3497621,"Asklazy Women's Boho Tops Floral V Neck 3/4 Sleeve Cold Shoulder Blouse Shirts,US Size,Black,M",Asklazy,11.0,45.99,35.0,142,4.7,Womens Tops,Clothing,True,False,5154791062,walmart
PROD_6394601fda,Jockey Women's Worry Free Cotton Stretch Heavy Absorbency Sleep S,Jockey,14.0,18.99,5.0,93,4.4,Jockey Panties,Clothing,True,False,5002982468,walmart
PROD_6d43d5c49f,Amay Grommet Top Blackout Curtain Panel Greyish White 60 Inch Wide by 72 Inch Long-1Panel,Amay's,72.0,90.0,18.0,13,5.0,Shop Curtains,Home,True,False,2972690411,walmart
PROD_699030d409,"Campbell's Condensed Heart Healthy Cream of Celery Soup, 10.5 oz Can",Campbell's Condensed Healthy Request,1.72,23.26375,6.07625,535,4.6,Condensed soup,Food,False,True,10321730,walmart
PROD_20ddbf8d34,Roaman's Women's Plus Size Three-Quarter Notch-Neck Soft Knit Tunic,Roaman's,30.7,36.57,5.9,417,4.4,Plus Size Tunic Tops,Clothing,True,False,3332740914,walmart
PROD_7b09f9bb88,TheLovely Women & Plus Scoop Neck Sleeveless Round Hem Relaxed Fit Casual Tank Top,TheLovely,12.0,16.99,5.0,2,5.0,Workout Tank Tops,Clothing,True,False,970939244,walmart
PROD_8abdb16e9f,"DreamBone DreamSticks with Real Peanut Butter and Chicken, Rawhide-Free Chews for Dogs, 13 Count",DreamBone,13.0,57.71888888888889,17.816666666666666,406,4.8,DreamBone,Pets,True,True,789503917,walmart
PROD_09850268a2,KingSize Men's Big & Tall Double Adjustable Strap Comfort Walking Shoe,Kingsize,77.7,90.15,12.43,27,4.5,Mens Walking Shoes,Clothing,True,False,553201076,walmart
PROD_5ea769bdb6,Avidlove Maternity Nursing Pajama Sets Labor Delivery Pjs Louge Set Breastfeeding Pajamas Short Sleeve Top & Pants Pregnancy Sleepwear Set,Avidlove,29.0,35.99,7.0,1,5.0,Womens Pajama Sets,Clothing,True,False,3789037962,walmart
PROD_d3a71282a3,Bali Womens Smoothing Cotton Brief 2-Pack Style-X037,Bali,18.8,21.65,2.84,28,4.2,Briefs,Clothing,True,False,199409627,walmart
PROD_fe4ba5540f,A2Y Women's Basic Casual Essentials 4-Button Junior-Fit PK Cotton Pique Polo Shirt Maroon XL,A2Y,15.0,17.9,2.91,53,3.8,Juniors Blouses & Shirts,Clothing,True,False,293568564,walmart
PROD_bf5de844b8,Fruit of the Earth Vitamin E Skin Care Cream 4 oz Cream,Fruit of the Earth,8.11,16.987999999999996,6.525999999999999,73,4.7,Hand Creams,Personal Care,True,False,45696491,walmart
PROD_aaeffd5e88,Bob's Red Mill Gluten Free Old Fashioned Rolled Oats 32 oz Pkg,Bob's Red Mill,7.42,23.26375,6.07625,390,4.8,Hot Cereal & Grits,Food,False,True,887305646,walmart
PROD_b706a32ff3,"Hauteloom Bodrum 6' 7"" x 9' Moroccan Bohemian Updated Traditional - Oriental Area Rug - Oval - Polypropylene - Saffron, Light Gray, Charcoal, Teal, Dark Blue, Garnet, Burnt Orange, Beige",Hauteloom,141.0,157.0,15.7,1267,4.6,All Area Rugs,Home,True,False,926616414,walmart
PROD_9012bcc9b7,Fantaslook U Neck Tank Top for Women Sleeveless Split Curved Hem Tunic Tops Summer Casual Tank Tops,Fantaslook,13.0,29.99,17.0,46,4.5,Womens Tank Tops,Clothing,True,False,5271677233,walmart
PROD_0ab51e4689,Jockey Men's Ultra Soft Pant,Jockey,20.0,28.5,8.51,700,4.5,Mens Pants,Clothing,True,False,5619052041,walmart
PROD_f351c9bc22,"G3 Home 90036 Ivy Bedspread Set, White - Queen Size - 3 Piece",G3 Home,60.7,68.31,7.59,1,1.0,Toddler Bedding Sets & Sheets,Baby,True,False,446839423,walmart
PROD_a7ba2ddcbb,Sports Bra for Women High Impact V-Back Gym Yoga Strappy Padded Racerback Bras Large Bust Exercise Athletic Bras,FITOP,9.99,19.99,10.0,7,4.6,High Support,Clothing,True,False,2212970912,walmart
PROD_fc8be32f7c,"Sanmadrola Waterproof & Reversible Dog Bed Cover Pet Blanket Sofa, Couch Cover Mattress Protector Furniture Protector for Dog, Pet, Cat 30''x30'' Blue",SANMADROLA,17.0,29.99,13.0,260,4.7,Slipcovers,Home,True,False,5589451590,walmart
PROD_3904fc9f9b,"Lochas Soft Fluffy Rugs Shag Area Rug Carpet for Bedroom Living Room Indoor Nursery Home Decor,5.3'x7.5',Yellow",Lochas,54.0,59.99,6.0,937,4.3,All Area Rugs,Home,True,False,6292721825,walmart
PROD_707fb02b76,Ruanyu Women Cap Sleeve Blouses T-Shirt V Neck Solid Basic Tops Ladies Casual Loose Fit Tee,Raruxxin,19.0,24.66,5.69,14,3.9,Tshirts for Women,Clothing,True,False,2116483962,walmart
PROD_d49b8e3f1c,BrylaneHome Pre-Lit Rod-Pocket Curtain Panel,BrylaneHome,38.7,51.23,12.57,104,4.3,Shop Curtains,Home,True,False,5005432766,walmart
PROD_fd6c026c56,COEVALS CLUB Men's Embroidered Western Cowboy Long Sleeve Pearl Snap Two Pockets Casual Button up Shirts Black 2-01 XX-Large,Coevals Club,30.0,44.99,15.0,4,5.0,Mens Casual Button Down Shirts,Clothing,True,False,5333084803,walmart
PROD_13e950a350,"Muk Luks Soft Knit Matching Family Pajama Set , Black/Red Check, P/1X",MUK LUKS,25.0,27.99,3.0,3,3.7,Plaid Pajamas,Clothing,True,False,5088382174,walmart
PROD_e80222248b,The Brigitte Full Coverage - Padded Wirefree T-Shirt Bra,Leading Lady,28.6,44.0,15.4,1766,4.1,Plus Size T-Shirt Bras,Clothing,True,False,187606582,walmart
PROD_44249f8b97,Good Choice Womens Kimora Faux Leather Bow Peep-Toe Heels,Good Choice,32.0,49.99,18.0,2245,4.3,Block Heels,Clothing,True,False,5605488846,walmart
PROD_ea20e5dfd3,Cherokee Workwear Prints Women's Scrubs Jacket Snap Front Warm Up 4350,Cherokee,23.0,28.57,5.58,179,4.5,Scrub Tops,Clothing,True,False,162709782,walmart
PROD_262dd4fc86,Black Wedding Ring Set for Women CZ Halo Black Sterling Slver Engagement Ring Ginger Lyne Collection,Ginger Lyne Collection,33.0,38.99,6.0,173,4.3,Gemstone Engagement Rings,Jewelry,True,False,682025831,walmart
PROD_9956cf5104,Georgia Boot Mossy Oak Bottomlands Romeo Work Shoe Size 10.5(M),Georgia Boot,52.4,90.0,37.62,2,4.0,Mens Shoes,Clothing,True,False,5497424655,walmart
PROD_3fd80a7d92,"Exclusivo Mezcla 4 Pack Microfiber Cabana Striped Large Beach/Pool/Bath Towel for Adults (Yellow, 30"" x 60"") - Soft, Quick Dry, Lightweight and Absorbent",Exclusivo Mezcla,24.0,79.98,55.99,106,3.7,Beach Towels,Home,True,False,557735516,walmart
PROD_85934bcb49,Comfort Canopy - 4 Piece Gray Small Polka Dot Bed Sheets for California King Bedding,Comfort Canopy,38.0,109.99,72.0,82,4.9,Bed Sheets,Home,True,False,1357206123,walmart
PROD_29b9a1e216,VEPKUL Women's Plus Size Cold Shoulder Dresses 3X Short Sleeve Casual Summer Dresses T Shirt Swing Dress A Line Flowy Beach Sundress with Pockets,VEPKUL,18.9,28.99,10.11,120,4.8,Casual Dresses,Clothing,True,False,5395428588,walmart
PROD_4418a09f0d,Women's Long Sleeve Tunic Tops Casual Round Neck T-Shirts Front Twist Top,DreamXi,11.0,29.99,19.0,118,4.3,Plus Size Tshirts,Clothing,True,False,6195974233,walmart
PROD_8b4df064c5,"Inadays Men's Swim Trunks with Mesh Lining Quick Dry Beach Shorts Sports Shorts Bathing Suit Boardshorts Swimwear, Black, M",Inadays,15.0,32.99,18.0,142,4.1,Mens Swimwear,Clothing,True,False,1979723992,walmart
PROD_5ea906221d,"Hauteloom Emirgazi Living Room, Bedroom Patio Outdoor Area Rug - Global - Blue, Gray - 4'3"" x 5'11""",Hauteloom,78.3,87.0,8.7,8,4.5,Plastic Outdoor Rugs,Patio & Garden,True,False,2399732101,walmart
